entry,exit,equity,bond
2019-01-02,2019-02-01,SHY,TLT
2019-02-01,2019-03-01,QQQ,TLT
2019-03-01,2019-04-01,QQQ,TLT
2019-04-01,2019-05-01,QQQ,JNK
2019-05-01,2019-06-03,QQQ,JNK
2019-06-03,2019-07-01,SHY,TLT
2019-07-01,2019-08-01,SPY,TLT
2019-08-01,2019-09-03,SPY,TLT
2019-09-03,2019-10-01,QQQ,TLT
2019-10-01,2019-11-01,SPY,TLT
2019-11-01,2019-12-02,QQQ,TLT
2019-12-02,2020-01-02,QQQ,JNK
2020-01-02,2020-02-03,QQQ,JNK
2020-02-03,2020-03-02,QQQ,TLT
2020-03-02,2020-04-01,SHY,TLT
2020-04-01,2020-05-01,SHY,TLT
2020-05-01,2020-06-01,SHY,TLT
2020-06-01,2020-07-01,QQQ,TLT
2020-07-01,2020-08-03,QQQ,JNK
2020-08-03,2020-09-01,QQQ,JNK
2020-09-01,2020-10-01,QQQ,JNK
2020-10-01,2020-11-02,QQQ,JNK
2020-11-02,2020-12-01,IWM,JNK
2020-12-01,2021-01-04,IWM,JNK
2021-01-04,2021-02-01,IWM,JNK
2021-02-01,2021-03-02,IWM,JNK
2021-03-01,2021-04-01,IWM,JNK
2021-04-01,2021-05-03,MDY,JNK
2021-05-03,2021-06-01,MDY,JNK
2021-06-01,2021-07-01,SPY,JNK
2021-07-01,2021-08-02,QQQ,TLT
2021-08-02,2021-09-01,QQQ,TLT
2021-09-01,2021-10-01,QQQ,TLT
2021-10-01,2021-11-02,QQQ,TLT
2021-11-01,2021-12-01,QQQ,JNK
2021-12-01,2022-01-03,QQQ,TLT
2022-01-03,2022-02-01,QQQ,TLT
2022-02-01,2022-03-01,SHY,JNK
2022-03-01,2022-03-30,SHY,JNK

