"sym","name"
"SLYV","SPDR S&P SmallCap 600 Value"
"KLD","iShares MSCI USA ESG Select"
"QTEC","First Trust NASDAQ-100-Technology"
"IXG","iShares Global Financials"
"JKF","iShares Morningstar Large-Cap Value"
"PBJ","PowerShares Dynamic Food & Beverage"
"EXI","iShares Global Industrials"
"IAI","iShares U.S. Broker-Dealers"
"IGN","iShares North American Tech-Multimedia Networking"
"SPYV","SPDR S&P 500 Value"
"JXI","iShares Global Utilities"
"MTK","SPDR Morgan Stanley Technology"
"JKI","iShares Morningstar Mid-Cap Value"
"THRK","SPDR Russell 3000"
"JKJ","iShares Morningstar Small-Cap"
"JKH","iShares Morningstar Mid-Cap Growth"
"RHS","Guggenheim S&P Equal Weight Consumer Staples"
"PPA","PowerShares Aerospace & Defense"
"PWC","PowerShares Dynamic Market"
"MDYG","SPDR S&P MidCap 400 Growth"
"RXI","iShares Global Consumer Discretionary"
"RZV","Guggenheim S&P SmallCap 600 Pure Value"
"PBS","PowerShares Dynamic Media"
"NFO","Guggenheim Insider Sentiment"
"RYU","Guggenheim S&P Equal Weight Utilities"
"XSD","SPDR S&P Semiconductor"
"RYF","Guggenheim S&P Equal Weight Financial"
"EWN","iShares MSCI Netherlands"
"PEJ","PowerShares Dynamic Leisure and Entertainment"
"CZA","Guggenheim Mid-Cap Core"
"EPS","WisdomTree Earnings 500"
"GBF","iShares Government/Credit Bond"
"PTH","PowerShares DWA Healthcare Momentum"
"IAK","iShares U.S. Insurance"
"JKK","iShares Morningstar Small-Cap Growth"
"RGI","Guggenheim S&P Equal Weight Industrials"
"PRN","PowerShares DWA Industrials Momentum"
"RTH","Market Vectors Retail"
"RZG","Guggenheim S&P SmallCap 600 Pure Growth"
"EXT","WisdomTree Total Earnings"
"MDYV","SPDR S&P MidCap 400 Value"
"PXMG","PowerShares Fundamental Pure Mid Growth"
"RCD","Guggenheim S&P Equal Weight Consumer Discretionary"
"FTCS","First Trust Capital Strength"
"RSCO","SPDR Russell Small Cap Completeness"
"PTF","PowerShares DWA Technology Momentum"
"PXSV","PowerShares Fundamental Pure Small Value"
"PEZ","PowerShares DWA Consumer Cyclicals Momentum"
"ONEK","SPDR Russell 1000"
"PXMV","PowerShares Fundamental Pure Mid Value"
"PSJ","PowerShares Dynamic Software"
"FDM","First Trust Dow Jones Select Micro Cap"
"PFI","PowerShares DWA Financial Momentum"
"PSL","PowerShares DWA Consumer Staples Momentum"
"PXLC","PowerShares Fundamental Pure Large Core"
"PUI","PowerShares DWA Utilities Momentum"
"PSI","PowerShares Dynamic Semiconductors"
"EZY","WisdomTree LargeCap Value"
"DWAQ","PowerShares DWA NASDAQ Momentum"
"PXQ","PowerShares Dynamic Networking"
"PXMC","PowerShares Fundamental Pure Mid Core"
